iter	Passed	Remaining
0	8	925
1	19	1063
2	31	1139
3	43	1140
4	50	1058
5	57	1002
6	64	945
7	107	1370
8	138	1549
9	148	1480
10	154	1393
11	161	1321
12	169	1268
13	178	1222
14	184	1171
15	192	1130
16	199	1090
17	206	1055
18	213	1020
19	219	988
20	227	965
21	234	938
22	243	922
23	250	898
24	259	883
25	266	862
26	276	850
27	284	832
28	294	821
29	302	806
30	310	791
31	320	781
32	329	768
33	339	758
34	347	744
35	356	732
36	366	722
37	374	710
38	383	698
39	390	684
40	399	672
41	407	660
42	416	649
43	423	635
44	432	624
45	439	611
46	447	599
47	454	587
48	461	575
49	468	562
50	475	550
51	484	540
52	491	528
53	498	517
54	506	506
55	515	497
56	523	486
57	529	475
58	536	463
59	542	452
60	549	441
61	555	430
62	562	419
63	568	408
64	574	397
65	581	387
66	587	377
67	594	367
68	600	357
69	607	346
70	613	337
71	619	326
72	625	317
73	631	307
74	637	297
75	644	288
76	649	278
77	656	269
78	662	260
79	669	251
80	676	242
81	682	232
82	689	224
83	695	215
84	701	206
85	708	197
86	714	188
87	720	180
88	726	171
89	732	162
90	739	154
91	745	145
92	751	137
93	758	129
94	764	120
95	770	112
96	776	104
97	782	95
98	788	87
99	794	79
100	800	71
101	806	63
102	812	55
103	818	47
104	824	39
105	831	31
106	837	23
107	844	15
108	849	7
109	856	0
